idx,license,mapping_type,map_name
0,,undetermined,MapNA
1,,undetermined,MapNA
2949130,,undetermined,MapNA
2949130,,undetermined,MapExactID
2949130,,undetermined,MapExactMatch
2949130,,undetermined,MapLicenseFamily
2555918,,undetermined,MapNA
2555918,,undetermined,MapExactID
2555918,,undetermined,MapExactMatch
2555918,,undetermined,MapLicenseFamily
15,,undetermined,MapNA
3538962,,undetermined,MapNA
3538962,,undetermined,MapExactID
3538962,,undetermined,MapExactMatch
3538962,,undetermined,MapLicenseFamily
21,,undetermined,MapNA
21,,undetermined,MapExactID
21,,undetermined,MapExactMatch
21,,undetermined,MapLicenseFamily
131093,,undetermined,MapNA
131093,,undetermined,MapExactID
131093,,undetermined,MapExactMatch
131093,,undetermined,MapLicenseFamily
131093,,undetermined,MapFuzzyMatch
26,,undetermined,MapNA
26,,undetermined,MapExactID
26,,undetermined,MapExactMatch
26,,undetermined,MapLicenseFamily
26,,undetermined,MapFuzzyMatch
34,,undetermined,MapNA
34,,undetermined,MapExactID
34,,undetermined,MapExactMatch
34,,undetermined,MapLicenseFamily
5767204,,undetermined,MapNA
5767204,,undetermined,MapExactID
5767204,,undetermined,MapExactMatch
5767204,,undetermined,MapLicenseFamily
5767204,,undetermined,MapFuzzyMatch
5701671,,undetermined,MapNA
5701671,,undetermined,MapExactID
5701671,,undetermined,MapExactMatch
5701671,,undetermined,MapLicenseFamily
3735596,,undetermined,MapNA
3735596,,undetermined,MapExactID
3735596,,undetermined,MapExactMatch
3735596,,undetermined,MapLicenseFamily
2293811,,undetermined,MapNA
2293811,,undetermined,MapExactID
2293811,,undetermined,MapExactMatch
2293811,,undetermined,MapLicenseFamily
393271,,undetermined,MapNA
393271,,undetermined,MapExactID
393271,,undetermined,MapExactMatch
393271,,undetermined,MapLicenseFamily
393271,,undetermined,MapFuzzyMatch
2162743,,undetermined,MapNA
2162743,,undetermined,MapExactID
2162743,,undetermined,MapExactMatch
2162743,,undetermined,MapLicenseFamily
60,,undetermined,MapNA
60,,undetermined,MapExactID
60,,undetermined,MapExactMatch
60,,undetermined,MapLicenseFamily
60,,undetermined,MapFuzzyMatch
2687036,,undetermined,MapNA
2687036,,undetermined,MapExactID
2687036,,undetermined,MapExactMatch
2687036,,undetermined,MapLicenseFamily
2883644,,undetermined,MapNA
2883644,,undetermined,MapExactID
2883644,,undetermined,MapExactMatch
2883644,,undetermined,MapLicenseFamily
2883644,,undetermined,MapFuzzyMatch
65,,undetermined,MapNA
65,,undetermined,MapExactID
65,,undetermined,MapExactMatch
65,,undetermined,MapLicenseFamily
65,,undetermined,MapFuzzyMatch
5570628,,undetermined,MapNA
5570628,,undetermined,MapExactID
5570628,,undetermined,MapExactMatch
5570628,,undetermined,MapLicenseFamily
5570628,,undetermined,MapFuzzyMatch
76,,undetermined,MapNA
76,,undetermined,MapExactID
76,,undetermined,MapExactMatch
1441870,,undetermined,MapNA
1441870,,undetermined,MapExactID
1441870,,undetermined,MapExactMatch
1441870,,undetermined,MapLicenseFamily
5570638,,undetermined,MapNA
5570638,,undetermined,MapExactID
5570638,,undetermined,MapExactMatch
5570638,,undetermined,MapLicenseFamily
5898320,,undetermined,MapNA
5898320,,undetermined,MapExactID
5898320,,undetermined,MapExactMatch
5898320,,undetermined,MapLicenseFamily
6094927,,undetermined,MapNA
6094927,,undetermined,MapExactID
6094927,,undetermined,MapExactMatch
6094927,,undetermined,MapLicenseFamily
7274576,,undetermined,MapNA
7274576,,undetermined,MapExactID
7274576,,undetermined,MapExactMatch
7274576,,undetermined,MapLicenseFamily
7274576,,undetermined,MapFuzzyMatch
1441882,,undetermined,MapNA
1441882,,undetermined,MapExactID
1441882,,undetermined,MapExactMatch
1441882,,undetermined,MapLicenseFamily
720991,,undetermined,MapNA
720991,,undetermined,MapExactID
720991,,undetermined,MapExactMatch
720991,,undetermined,MapLicenseFamily
5308513,,undetermined,MapNA
5308513,,undetermined,MapExactID
5308513,,undetermined,MapExactMatch
5308513,,undetermined,MapLicenseFamily
2359399,,undetermined,MapNA
2359399,,undetermined,MapExactID
2359399,,undetermined,MapExactMatch
2359399,,undetermined,MapLicenseFamily
4128871,,undetermined,MapNA
4128871,,undetermined,MapExactID
4128871,,undetermined,MapExactMatch
4128871,,undetermined,MapLicenseFamily
5439602,,undetermined,MapNA
5439602,,undetermined,MapExactID
5439602,,undetermined,MapExactMatch
5439602,,undetermined,MapLicenseFamily
655476,,undetermined,MapNA
655476,,undetermined,MapExactID
655476,,undetermined,MapExactMatch
655476,,undetermined,MapLicenseFamily
655476,,undetermined,MapFuzzyMatch
3735671,,undetermined,MapNA
3735671,,undetermined,MapExactID
3735671,,undetermined,MapExactMatch
3735671,,undetermined,MapLicenseFamily
6160506,,undetermined,MapNA
6160506,,undetermined,MapExactID
6160506,,undetermined,MapExactMatch
6160506,,undetermined,MapLicenseFamily
4980860,,undetermined,MapNA
4980860,,undetermined,MapExactID
4980860,,undetermined,MapExactMatch
4980860,,undetermined,MapLicenseFamily
4980860,,undetermined,MapFuzzyMatch
6160507,,undetermined,MapNA
6160507,,undetermined,MapExactID
6160507,,undetermined,MapExactMatch
6160507,,undetermined,MapLicenseFamily
3080320,,undetermined,MapNA
3080320,,undetermined,MapExactID
3080320,,undetermined,MapExactMatch
3080320,,undetermined,MapLicenseFamily
2228353,,undetermined,MapNA
2228353,,undetermined,MapExactID
2228353,,undetermined,MapExactMatch
2228353,,undetermined,MapLicenseFamily
2228353,,undetermined,MapFuzzyMatch
2490506,,undetermined,MapNA
2490506,,undetermined,MapExactID
2490506,,undetermined,MapExactMatch
2490506,,undetermined,MapLicenseFamily
2556044,,undetermined,MapNA
2556044,,undetermined,MapExactID
2556044,,undetermined,MapExactMatch
2556044,,undetermined,MapLicenseFamily
327822,,undetermined,MapNA
327822,,undetermined,MapExactID
327822,,undetermined,MapExactMatch
327822,,undetermined,MapLicenseFamily
2490513,,undetermined,MapNA
2490513,,undetermined,MapExactID
2490513,,undetermined,MapExactMatch
2490513,,undetermined,MapLicenseFamily
2883731,,undetermined,MapNA
2883731,,undetermined,MapExactID
2883731,,undetermined,MapExactMatch
2883731,,undetermined,MapLicenseFamily
3276951,,undetermined,MapNA
3276951,,undetermined,MapExactID
3276951,,undetermined,MapExactMatch
3276951,,undetermined,MapLicenseFamily
327833,,undetermined,MapNA
327833,,undetermined,MapExactID
327833,,undetermined,MapExactMatch
327833,,undetermined,MapLicenseFamily
7209114,,undetermined,MapNA
7209114,,undetermined,MapExactID
7209114,,undetermined,MapExactMatch
7209114,,undetermined,MapLicenseFamily
7209114,,undetermined,MapFuzzyMatch
2359452,,undetermined,MapNA
2359452,,undetermined,MapExactID
2359452,,undetermined,MapExactMatch
2359452,,undetermined,MapLicenseFamily
6291612,,undetermined,MapNA
6291612,,undetermined,MapExactID
6291612,,undetermined,MapExactMatch
6291612,,undetermined,MapLicenseFamily
3080350,,undetermined,MapNA
3080350,,undetermined,MapExactID
3080350,,undetermined,MapExactMatch
3080350,,undetermined,MapLicenseFamily
2228383,,undetermined,MapNA
2228383,,undetermined,MapExactID
2228383,,undetermined,MapExactMatch
2228383,,undetermined,MapLicenseFamily
2228383,,undetermined,MapFuzzyMatch
1048736,,undetermined,MapNA
1048736,,undetermined,MapExactID
1048736,,undetermined,MapExactMatch
1048736,,undetermined,MapLicenseFamily
1441952,,undetermined,MapNA
1441952,,undetermined,MapExactID
1441952,,undetermined,MapExactMatch
1441952,,undetermined,MapLicenseFamily
5439646,,undetermined,MapNA
5439646,,undetermined,MapExactID
5439646,,undetermined,MapExactMatch
5439646,,undetermined,MapLicenseFamily
5439649,,undetermined,MapNA
5439649,,undetermined,MapExactID
5439649,,undetermined,MapExactMatch
5439649,,undetermined,MapLicenseFamily
5898401,,undetermined,MapNA
5898401,,undetermined,MapExactID
5898401,,undetermined,MapExactMatch
5898401,,undetermined,MapLicenseFamily
6488225,,undetermined,MapNA
6488225,,undetermined,MapExactID
6488225,,undetermined,MapExactMatch
6488225,,undetermined,MapLicenseFamily
2228394,,undetermined,MapNA
2228394,,undetermined,MapExactID
2228394,,undetermined,MapExactMatch
2228394,,undetermined,MapLicenseFamily
5439658,,undetermined,MapNA
5439658,,undetermined,MapExactID
5439658,,undetermined,MapExactMatch
5439658,,undetermined,MapLicenseFamily
3276988,,undetermined,MapNA
3276988,,undetermined,MapExactID
3276988,,undetermined,MapExactMatch
3276988,,undetermined,MapLicenseFamily
2162878,,undetermined,MapNA
2162878,,undetermined,MapExactID
2162878,,undetermined,MapExactMatch
2162878,,undetermined,MapLicenseFamily
6619328,,undetermined,MapNA
6619328,,undetermined,MapExactID
6619328,,undetermined,MapExactMatch
6619328,,undetermined,MapLicenseFamily
200,,undetermined,MapNA
203,,undetermined,MapNA
5701837,,undetermined,MapNA
5701837,,undetermined,MapExactID
5701837,,undetermined,MapExactMatch
5701837,,undetermined,MapLicenseFamily
1048783,,undetermined,MapNA
1048783,,undetermined,MapExactID
1048783,,undetermined,MapExactMatch
1048783,,undetermined,MapLicenseFamily
1442001,,undetermined,MapNA
1442001,,undetermined,MapExactID
1442001,,undetermined,MapExactMatch
1442001,,undetermined,MapLicenseFamily
4456658,,undetermined,MapNA
4456658,,undetermined,MapExactID
4456658,,undetermined,MapExactMatch
4456658,,undetermined,MapLicenseFamily
5439698,,undetermined,MapNA
5439698,,undetermined,MapExactID
5439698,,undetermined,MapExactMatch
5439698,,undetermined,MapLicenseFamily
1966293,,undetermined,MapNA
1966293,,undetermined,MapExactID
1966293,,undetermined,MapExactMatch
1966293,,undetermined,MapLicenseFamily
1966293,,undetermined,MapFuzzyMatch
327894,,undetermined,MapNA
327894,,undetermined,MapExactID
327894,,undetermined,MapExactMatch
327894,,undetermined,MapLicenseFamily
2293978,,undetermined,MapNA
2293978,,undetermined,MapExactID
2293978,,undetermined,MapExactMatch
2293978,,undetermined,MapLicenseFamily
327901,,undetermined,MapNA
327901,,undetermined,MapExactID
327901,,undetermined,MapExactMatch
327901,,undetermined,MapLicenseFamily
327901,,undetermined,MapFuzzyMatch
6357217,,undetermined,MapNA
6357217,,undetermined,MapExactID
6357217,,undetermined,MapExactMatch
6357217,,undetermined,MapLicenseFamily
6357217,,undetermined,MapFuzzyMatch
7405796,,undetermined,MapNA
7405796,,undetermined,MapExactID
7405796,,undetermined,MapExactMatch
7405796,,undetermined,MapLicenseFamily
